year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
1979,,,220099000,1208030,21460,76390.0,,480700,629480,11041500.0,3327700.0,6601000,1112800,,16228170.0
1979,AK,Alaska,406000,1994,54,292.0,,445,1203,23193.0,5616.0,15076,2501,,32060.0
1979,AL,Alabama,3769000,15578,496,1037.0,,4127,9918,144372.0,48517.0,83791,12064,,218881.0
1979,AR,Arkansas,2180000,7984,198,595.0,,1626,5565,70949.0,21457.0,45267,4225,,106153.0
1979,AZ,Arizona,2450000,14528,219,1120.0,,4305,8884,177977.0,48916.0,116976,12085,,250524.0
1979,CA,California,22696000,184087,2952,12239.0,,75767,93129,1511021.0,496310.0,847148,167563,,2287499.0
1979,CO,Colorado,2772000,14472,161,1472.0,,4353,8486,180984.0,49741.0,117898,13345,,253844.0
1979,CT,Connecticut,3115000,12902,131,752.0,,6021,5998,167131.0,48229.0,96997,21905,,234391.0
1979,DC,District of Columbia,656000,10553,180,489.0,,6920,2964,45877.0,13452.0,28819,3606,,73026.0
1979,DE,Delaware,582000,3127,33,162.0,,753,2179,34853.0,8890.0,23081,2882,,49082.0
1979,FL,Florida,8860000,73881,1084,4576.0,,22097,46124,607281.0,190884.0,378099,38298,,919254.0
1979,GA,Georgia,5118000,28594,877,2216.0,,10939,14562,248641.0,81579.0,145758,21304,,374253.0
1979,HI,Hawaii,915000,2651,66,296.0,,1688,601,63664.0,16538.0,40580,6546,,83520.0
1979,IA,Iowa,2903000,5259,65,320.0,,1457,3417,119620.0,26768.0,85023,7829,,155129.0
1979,ID,Idaho,905000,2613,49,186.0,,392,1986,35766.0,9729.0,23577,2460,,50143.0
1979,IL,Illinois,11230000,83540,1203,3702.0,,36056,42579,593750.0,161776.0,356062,75912,,882848.0
1979,IN,Indiana,5400000,18254,448,1681.0,,7167,8958,230223.0,63176.0,143666,23381,,321059.0
1979,KS,Kansas,2369000,8376,130,626.0,,2423,5197,107605.0,31504.0,69622,6479,,152812.0
1979,KY,Kentucky,3527000,8748,335,719.0,,3247,4447,103548.0,32082.0,62431,9035,,149160.0
1979,LA,Louisiana,4026000,27229,682,1554.0,,8832,16161,188514.0,56237.0,115856,16421,,288823.0
1979,MA,Massachusetts,5769000,30650,212,1428.0,,11724,17286,310756.0,92570.0,152135,66051,,451474.0
1979,MD,Maryland,4149000,33007,406,1636.0,,13740,17225,228159.0,62630.0,145297,20232,,341427.0
1979,ME,Maine,1097000,2221,31,131.0,,349,1710,45030.0,12592.0,29828,2610,,61584.0
1979,MI,Michigan,9208000,56558,834,4100.0,,20218,31406,509457.0,138806.0,315211,55440,,737061.0
1979,MN,Minnesota,4060000,8973,93,871.0,,3754,4255,169376.0,45183.0,110827,13366,,227880.0
1979,MO,Missouri,4868000,25662,543,1638.0,,10267,13214,214809.0,70423.0,124398,19988,,324651.0
1979,MT,Montana,786000,1762,33,162.0,,260,1307,33298.0,6314.0,24537,2447,,42714.0
1979,NC,North Carolina,5606000,25009,600,1137.0,,4327,18945,220113.0,72687.0,134903,12523,,337354.0
1979,ND,North Dakota,657000,403,10,54.0,,65,274,17703.0,3029.0,13607,1067,,21419.0
1979,NE,Nebraska,1574000,3556,65,338.0,,1157,1996,59295.0,12804.0,42195,4296,,77716.0
1979,NH,New Hampshire,887000,1241,21,152.0,,254,814,39373.0,10635.0,25856,2882,,52084.0
1979,NJ,New Jersey,7332000,36747,484,2037.0,,18332,15894,390018.0,117421.0,221552,51045,,560564.0
1979,NM,New Mexico,1241000,7272,154,582.0,,1502,5034,64563.0,18385.0,41745,4433,,95408.0
1979,NV,Nevada,702000,5866,123,418.0,,2861,2464,56132.0,19799.0,31388,4945,,84384.0
1979,NY,New York,17649000,161906,2092,5394.0,,93471,60949,933234.0,308302.0,500589,124343,,1466483.0
1979,OH,Ohio,10731000,49092,865,3409.0,,20909,23909,501389.0,138128.0,316162,47099,,713383.0
1979,OK,Oklahoma,2892000,11719,281,953.0,,2966,7519,124293.0,42646.0,69292,12355,,186458.0
1979,OR,Oregon,2527000,13781,107,1121.0,,3299,9254,147264.0,40682.0,96823,9759,,211088.0
1979,PA,Pennsylvania,11731000,39133,724,2533.0,,17855,18021,370914.0,109668.0,215567,45679,,538460.0
1979,RI,Rhode Island,929000,3485,30,141.0,,1019,2295,50114.0,14400.0,28347,7367,,70324.0
1979,SC,South Carolina,2932000,19889,368,1006.0,,3156,15359,128651.0,44160.0,75807,8684,,208427.0
1979,SD,South Dakota,689000,1096,14,113.0,,140,829,19297.0,4316.0,13782,1199,,25552.0
1979,TN,Tennessee,4380000,18135,430,1511.0,,7277,8917,157651.0,56710.0,84850,16091,,241843.0
1979,TX,Texas,13385000,67988,2235,6043.0,,25667,34043,725109.0,239758.0,412515,72836,,1069133.0
1979,UT,Utah,1367000,4158,66,381.0,,1062,2649,70918.0,16115.0,50216,4587,,93906.0
1979,VA,Virginia,5197000,15642,447,1407.0,,5799,7989,211014.0,56265.0,141923,12826,,291357.0
1979,VT,Vermont,493000,908,7,113.0,,141,647,25217.0,7779.0,15776,1662,,34558.0
1979,WA,Washington,3926000,17064,187,1821.0,,4739,10317,239285.0,70024.0,152204,17057,,336877.0
1979,WI,Wisconsin,4720000,7839,160,758.0,,2857,4064,199273.0,44806.0,141880,12587,,256142.0
1979,WV,West Virginia,1878000,3156,128,291.0,,825,1912,40513.0,11959.0,24755,3799,,57668.0
1979,WY,Wyoming,450000,1579,41,124.0,,190,1224,20129.0,3887.0,14607,1635,,26860.0
1980,,,225349264,1344520,23040,82990.0,,565840,672650,12063700.0,3795200.0,7136900,1131700,,17899110.0
1980,AK,Alaska,440142,1919,39,250.0,,360,1270,22930.0,5545.0,14916,2469,,31703.0
1980,AL,Alabama,3861466,17320,509,1158.0,,5102,10551,173191.0,58952.0,102029,12210,,260523.0
1980,AR,Arkansas,2284037,7656,210,609.0,,1848,4989,79390.0,25559.0,49558,4273,,117804.0
1980,AZ,Arizona,2715357,17673,279,1227.0,,5258,10909,204193.0,58527.0,132814,12852,,291581.0
1980,CA,California,23532680,210290,3411,13693.0,,90420,102766,1633042.0,545138.0,913070,174834,,2494647.0
1980,CO,Colorado,2878407,15215,198,1510.0,,4608,8899,195872.0,58455.0,124514,12903,,278639.0
1980,CT,Connecticut,3095224,12768,146,670.0,,6749,5203,169283.0,52638.0,95631,21014,,240038.0
1980,DC,District of Columbia,635233,12772,200,439.0,,8897,3236,50896.0,16260.0,31068,3568,,83364.0
1980,DE,Delaware,594779,2824,41,144.0,,815,1824,37482.0,9698.0,25077,2707,,51869.0
1980,FL,Florida,9567112,94095,1387,5439.0,,34015,53254,709730.0,239825.0,424223,45682,,1098291.0
1980,GA,Georgia,5400851,29993,743,2391.0,,10670,16189,272652.0,91773.0,160764,20115,,411350.0
1980,HI,Hawaii,964680,2889,84,335.0,,1835,635,69291.0,17822.0,45564,5905,,90721.0
1980,IA,Iowa,2907804,5826,63,416.0,,1596,3751,132200.0,31390.0,93605,7205,,173230.0
1980,ID,Idaho,943629,2957,29,211.0,,442,2275,42169.0,11691.0,28243,2235,,59121.0
1980,IL,Illinois,11355062,91753,1205,3950.0,,41675,44923,620107.0,177099.0,369319,73689,,935087.0
1980,IN,Indiana,5461103,20633,485,1808.0,,7720,10620,248619.0,71720.0,153297,23602,,352077.0
1980,KS,Kansas,2354783,9168,163,742.0,,2664,5599,117492.0,35826.0,75268,6398,,168248.0
1980,KY,Kentucky,3641479,9711,321,698.0,,3468,5224,115328.0,37901.0,68296,9131,,168485.0
