Date,Eto,Precip,Sol_Rad,Vap_Pres,Air_Temp,Rel_Hum,Wind_Speed,Wind_Dir,Soil_Temp
2000,0,0,0,0.5,3.1,70,1.4,50,10.6
2001,0,0,0,0.5,3.2,68,1.2,51,10.4
2001,0,0,0,0.5,1.6,75,0.9,44,10.3
2002,0,0,0,0.5,1,77,1,47,10.1
2003,0,0,0,0.5,2.3,69,1.2,73,10
2004,0,0,0,0.5,0.7,75,0.9,54,9.8
2005,0,0,1,0.5,1,74,1.1,64,9.7
2006,0,0,20,0.5,1.3,73,1,48,9.6
2007,0.07,0,199,0.6,5,69,1,356,9.5
2008,0.15,0,311,0.6,10.1,52,1.1,210,9.3
2009,0.23,0,435,0.6,12.2,45,1,212,9.3
2010,0.3,0,493,0.6,14.4,38,1.6,206,9.3
2011,0.31,0,487,0.7,15.7,38,1.8,183,9.5
2012,0.26,0,423,0.7,16.6,36,1.3,245,9.7
2013,0.19,0,310,0.7,17,35,1.3,210,9.9
2014,0.1,0,162,0.7,17.2,33,1,191,10.1
2015,0.05,0,26,0.6,14.3,40,1.3,144,10.3
2016,0.02,0,0,0.6,10,52,1.6,74,10.4
2017,0,0,0,0.5,3.1,70,1.4,50,10.6
2018,0,0,0,0.5,3.2,68,1.2,51,10.4
2019,0,0,0,0.5,1.6,75,0.9,44,10.3
2020,0,0,0,0.5,1,77,1,47,10.1
2021,0,0,0,0.5,2.3,69,1.2,73,10
2022,0,0,0,0.5,0.7,75,0.9,54,9.8
2023,0,0,1,0.5,1,74,1.1,64,9.7
2024,0,0,20,0.5,1.3,73,1,48,9.6
2026,0.07,0,199,0.6,5,69,1,356,9.5
2027,0.15,0,311,0.6,10.1,52,1.1,210,9.3
2028,0.23,0,435,0.6,12.2,45,1,212,9.3
2029,0.3,0,493,0.6,14.4,38,1.6,206,9.3
2030,0.31,0,487,0.7,15.7,38,1.8,183,9.5
2031,0.26,0,423,0.7,16.6,36,1.3,245,9.7
2032,0.19,0,310,0.7,17,35,1.3,210,9.9
2033,0.1,0,162,0.7,17.2,33,1,191,10.1
2034,0.05,0,26,0.6,14.3,40,1.3,144,10.3
2035,0.02,0,0,0.6,10,52,1.6,74,10.4
